Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
"Surveyor, planning and development",Finance,Decreasing,Low,58959.01,Master’s Degree,4,4296,1506,90.11,22.19,Australia,32.91
"Scientist, water quality",Education,Decreasing,Low,49272.49,High School,20,8951,9781,95.25,0.43,USA,23.02
Radio producer,Entertainment,Decreasing,Low,94143.36,PhD,10,1477,2185,94.03,56.78,Canada,68.73
Licensed conveyancer,Entertainment,Decreasing,Moderate,50266.98,High School,17,3815,5394,24.36,70.32,UK,29.23
"Investment banker, operational",Transportation,Increasing,High,93318.73,Associate Degree,14,4445,193,9.37,14.24,India,72.1
"Psychotherapist, dance movement",Retail,Increasing,High,41338.91,Associate Degree,19,266,1413,13.24,5.57,China,43.76
Mechanical engineer,Healthcare,Decreasing,Moderate,68131.97,Master’s Degree,11,1921,8963,48.65,67.19,USA,21.26
"Designer, textile",Healthcare,Increasing,Moderate,56678.73,PhD,6,5592,9787,91.32,11.43,Brazil,39.26
"Therapist, art",IT,Increasing,Low,110974.95,Associate Degree,7,5262,4262,8.86,59.78,Canada,25.29
Therapeutic radiographer,Manufacturing,Increasing,Low,115351.08,High School,15,5686,5664,41.51,56.7,Germany,29.06
Company secretary,Finance,Decreasing,High,136381.34,Bachelor’s Degree,10,2089,4560,83.94,33.73,Australia,66.35
Cytogeneticist,Retail,Increasing,Moderate,149739.04,Associate Degree,11,6471,7724,47.74,2.24,Germany,72.02
"Scientist, audiological",Retail,Decreasing,Low,147494.97,Master’s Degree,1,9590,7904,93.88,94.64,China,42.12
Industrial/product designer,Entertainment,Decreasing,High,50502.95,Associate Degree,13,2136,8218,51.21,86.25,Brazil,24.68
Network engineer,IT,Increasing,High,46017.03,PhD,20,7605,5937,98.29,35.34,Brazil,50.87
English as a foreign language teacher,Finance,Increasing,High,111714.92,Master’s Degree,9,6708,2204,3.38,67.18,UK,27.93
Wellsite geologist,Transportation,Increasing,High,45783.06,Associate Degree,14,6418,7033,27.49,51.72,Australia,49.21
Building services engineer,Finance,Increasing,Moderate,116873.91,PhD,7,6034,8264,15.67,74.87,Germany,41.02
"Embryologist, clinical",Entertainment,Decreasing,Low,130831.3,Bachelor’s Degree,17,5307,4888,47.14,21.68,India,64.75
"Engineer, electrical",Entertainment,Decreasing,Moderate,57213.92,Bachelor’s Degree,14,6773,3636,82.76,77.8,Australia,21.0
Video editor,Transportation,Increasing,Low,72911.04,Bachelor’s Degree,19,7954,9197,86.36,0.61,China,69.22
IT consultant,IT,Increasing,Moderate,96046.37,Bachelor’s Degree,15,2832,1485,1.6,0.59,USA,32.15
Systems analyst,Healthcare,Increasing,Moderate,101604.36,High School,12,1204,6165,78.16,91.16,China,21.42
Counsellor,Finance,Decreasing,Low,122659.93,PhD,2,9871,9125,43.3,36.63,Brazil,23.2
Photographer,Education,Decreasing,Low,77742.29,Master’s Degree,6,4646,9617,45.12,4.69,USA,50.26
"Scientist, product/process development",Transportation,Increasing,Moderate,106498.74,PhD,1,6295,2623,80.67,68.16,USA,48.86
"Therapist, nutritional",IT,Increasing,Moderate,52653.46,Associate Degree,3,545,3282,98.67,92.65,China,49.14
Music therapist,Healthcare,Increasing,High,135739.7,PhD,6,2920,1665,96.66,68.94,Australia,23.83
Soil scientist,Transportation,Decreasing,High,80376.35,Associate Degree,10,3858,1330,19.72,3.29,UK,33.52
"Accountant, chartered management",Retail,Increasing,Moderate,105122.98,Master’s Degree,17,9001,1979,36.58,29.88,India,29.08
Hospital pharmacist,Finance,Decreasing,Low,57993.78,High School,0,9158,5595,99.76,42.64,Brazil,33.61
"Investment banker, operational",Healthcare,Decreasing,Moderate,69797.7,High School,7,3000,5313,28.38,19.67,Germany,63.29
Accounting technician,Healthcare,Increasing,High,81524.41,Bachelor’s Degree,5,9798,3872,99.24,90.61,UK,38.69
Mudlogger,Healthcare,Decreasing,High,121627.72,Master’s Degree,14,5671,7434,60.23,33.37,USA,41.91
Geochemist,Entertainment,Decreasing,High,141943.27,Associate Degree,6,2896,9625,90.36,1.93,Australia,59.26
Warehouse manager,Entertainment,Decreasing,High,32683.35,Associate Degree,2,135,3175,94.68,18.59,China,53.26
Artist,Education,Decreasing,High,137508.9,High School,4,551,4128,16.51,7.19,Germany,59.61
Curator,Finance,Decreasing,High,104918.98,High School,0,6890,3284,79.77,10.87,Canada,55.82
"Scientist, product/process development",Manufacturing,Increasing,High,124909.24,Master’s Degree,3,2056,5969,40.18,35.64,Brazil,72.97
Energy manager,Transportation,Decreasing,Low,131158.65,Bachelor’s Degree,19,9318,233,17.6,41.73,Australia,28.27
Press sub,Healthcare,Increasing,Moderate,104015.3,PhD,1,4344,5178,11.96,71.96,UK,70.45
Print production planner,Retail,Decreasing,High,54176.71,Bachelor’s Degree,6,6956,4166,85.85,73.59,Australia,71.96
Facilities manager,Education,Decreasing,Moderate,93798.77,Associate Degree,18,6655,3606,84.63,59.7,Canada,67.22
Senior tax professional/tax inspector,Transportation,Decreasing,Moderate,35645.05,High School,13,1171,6376,82.04,75.67,Brazil,76.92
Freight forwarder,Education,Decreasing,Low,132278.34,Bachelor’s Degree,20,7873,6231,58.93,59.18,UK,79.88
Social researcher,Finance,Increasing,High,143705.02,High School,1,4991,1881,12.9,50.94,Australia,38.76
Sports development officer,Healthcare,Increasing,Moderate,32510.96,Bachelor’s Degree,20,391,7213,27.13,80.68,Australia,75.28
Soil scientist,Manufacturing,Decreasing,High,62159.58,Associate Degree,20,6963,723,95.65,85.22,China,49.54
Television floor manager,Education,Decreasing,Moderate,121911.43,High School,10,3254,9340,3.16,95.81,UK,73.07
Chartered loss adjuster,Transportation,Decreasing,High,57046.86,PhD,6,1007,526,66.48,56.63,Australia,48.43
"Pharmacist, hospital",Retail,Increasing,Moderate,86054.41,Bachelor’s Degree,8,2843,9310,80.89,47.87,India,59.25
Chief Executive Officer,Manufacturing,Increasing,High,145024.55,Bachelor’s Degree,7,3053,858,1.25,23.49,China,52.19
Theatre director,Retail,Increasing,High,48004.63,Associate Degree,16,6885,1940,43.99,10.35,Brazil,69.88
Energy manager,Manufacturing,Increasing,Moderate,127999.27,PhD,9,8621,2228,35.54,48.96,Brazil,20.58
Writer,Transportation,Decreasing,Moderate,30661.94,Master’s Degree,12,9111,9971,35.67,79.48,USA,29.46
Chartered certified accountant,Education,Decreasing,Low,116156.84,Bachelor’s Degree,17,3018,7880,34.84,83.64,Canada,74.91
"Engineer, drilling",Entertainment,Decreasing,High,114756.12,High School,19,5271,5794,56.57,88.44,China,35.85
Midwife,Entertainment,Decreasing,Low,89925.05,Bachelor’s Degree,15,3789,6181,72.49,46.81,China,50.89
Bookseller,Finance,Increasing,Moderate,85228.04,High School,2,6845,4238,2.7,99.16,India,79.09
Retail buyer,Manufacturing,Increasing,Low,54939.12,Master’s Degree,3,351,5777,93.2,91.66,USA,20.14
Osteopath,IT,Increasing,Moderate,36112.32,Associate Degree,10,5069,6184,97.68,61.36,USA,24.07
"Research officer, political party",IT,Decreasing,High,135617.66,High School,3,3776,5915,13.26,31.73,India,37.0
Accounting technician,Finance,Increasing,Low,38720.15,Bachelor’s Degree,17,4155,3207,35.51,11.44,Canada,72.4
Sports coach,IT,Increasing,Moderate,101156.32,PhD,19,710,9745,26.43,79.98,India,50.62
Academic librarian,IT,Increasing,Low,115183.86,Master’s Degree,2,6146,6497,96.34,49.29,USA,55.69
"Doctor, general practice",Transportation,Decreasing,Low,103678.33,High School,10,631,7907,97.97,13.47,Australia,57.7
"Sales professional, IT",Manufacturing,Decreasing,Moderate,71426.91,Associate Degree,2,6095,5517,46.08,88.33,India,52.94
International aid/development worker,Entertainment,Decreasing,High,101234.89,Associate Degree,9,669,3900,69.66,50.92,Canada,42.06
Trade mark attorney,IT,Increasing,Low,68159.01,Bachelor’s Degree,11,8157,7747,91.01,52.06,India,38.6
"Psychologist, prison and probation services",Manufacturing,Decreasing,High,68415.49,Bachelor’s Degree,18,8283,2016,77.42,92.97,Canada,30.88
"Scientist, product/process development",IT,Increasing,Moderate,126438.44,Associate Degree,9,2913,8059,42.76,88.87,UK,40.46
Lawyer,Healthcare,Decreasing,Low,63310.65,High School,16,9793,4893,26.91,72.39,USA,71.29
"Teacher, music",Manufacturing,Increasing,Low,79916.91,High School,18,3424,6799,67.7,38.22,Australia,38.31
Merchant navy officer,Healthcare,Decreasing,Moderate,115403.62,Bachelor’s Degree,1,7512,1152,10.72,83.55,Canada,76.29
Medical sales representative,IT,Increasing,High,140692.37,High School,11,3133,5344,85.48,91.5,India,58.14
"Nurse, adult",Transportation,Decreasing,Low,33709.57,Master’s Degree,3,7522,3111,91.07,36.3,USA,24.15
Community pharmacist,Manufacturing,Decreasing,Moderate,33883.92,PhD,0,6478,7363,97.34,2.38,Brazil,30.67
"Nurse, adult",Transportation,Decreasing,High,110203.15,Associate Degree,5,7160,5990,96.85,64.14,Canada,38.45
Museum/gallery curator,Healthcare,Increasing,Moderate,43244.33,Master’s Degree,4,5863,1013,23.72,68.74,China,42.3
"Engineer, broadcasting (operations)",Entertainment,Decreasing,Low,118968.07,Bachelor’s Degree,5,256,8266,86.56,2.11,Canada,21.8
Tree surgeon,IT,Decreasing,Moderate,124733.54,High School,12,9548,3588,58.07,91.56,Australia,42.41
Community development worker,Finance,Increasing,High,34929.3,PhD,5,6529,5900,28.06,65.88,USA,48.22
Occupational hygienist,Education,Increasing,Moderate,78188.97,High School,2,2699,9089,75.59,69.27,UK,50.45
Commercial horticulturist,Healthcare,Increasing,Low,46790.32,Bachelor’s Degree,12,3011,2640,75.18,9.03,USA,23.42
Production manager,IT,Decreasing,Moderate,118892.54,High School,3,8981,7626,65.24,95.88,India,55.28
Clinical embryologist,Education,Increasing,Low,105109.46,High School,14,9706,309,65.24,29.36,Australia,27.99
Research scientist (maths),Transportation,Increasing,Low,146152.3,High School,20,6216,6801,59.56,51.96,Canada,38.33
Bookseller,Retail,Decreasing,High,85185.88,High School,16,8100,5245,47.84,90.88,Brazil,33.94
"Administrator, charities/voluntary organisations",Finance,Increasing,Low,129972.73,Master’s Degree,2,5489,4477,26.54,70.58,Australia,44.86
Quality manager,Entertainment,Decreasing,High,86470.13,Associate Degree,6,7725,8525,67.12,96.56,Australia,67.29
"Surveyor, mining",Retail,Increasing,High,108240.52,Bachelor’s Degree,15,7731,2567,66.5,44.16,Australia,51.11
Event organiser,Healthcare,Increasing,Moderate,147044.56,Bachelor’s Degree,2,8606,8508,88.79,48.17,India,32.48
"Lighting technician, broadcasting/film/video",IT,Decreasing,Moderate,72194.66,Associate Degree,12,7411,9639,80.21,15.25,Canada,79.65
Senior tax professional/tax inspector,Retail,Decreasing,High,63817.63,High School,0,2511,3502,31.83,89.68,India,38.01
"Producer, radio",Education,Decreasing,High,101457.79,Master’s Degree,15,5778,8881,4.97,47.05,Germany,57.95
"Designer, interior/spatial",Finance,Decreasing,Low,34524.52,Master’s Degree,2,8214,8990,93.44,59.03,Canada,60.58
"Research officer, government",Education,Decreasing,High,89161.24,Bachelor’s Degree,2,9730,5404,62.01,42.45,Australia,52.68
Psychiatric nurse,Healthcare,Increasing,Low,114696.61,Associate Degree,14,1468,9858,58.49,0.44,China,40.85
Historic buildings inspector/conservation officer,Finance,Decreasing,High,51724.5,Bachelor’s Degree,17,9732,2230,95.15,16.95,Brazil,45.69
Radiation protection practitioner,IT,Decreasing,Moderate,105026.99,Bachelor’s Degree,19,9124,8905,40.08,53.98,China,40.22
"Engineer, aeronautical",Finance,Decreasing,High,113123.77,Associate Degree,11,4574,5579,34.05,3.28,USA,50.13
"Horticulturist, commercial",Manufacturing,Increasing,High,36440.37,Associate Degree,7,3136,8813,23.78,79.55,Canada,71.97
Mining engineer,Healthcare,Decreasing,Low,137097.05,Bachelor’s Degree,10,6904,8374,10.87,76.42,Germany,34.56
Production engineer,Transportation,Increasing,High,34151.37,Associate Degree,17,2480,7805,3.67,10.62,Australia,35.2
Warehouse manager,Retail,Increasing,High,137418.23,High School,9,2098,3803,5.44,99.32,USA,49.13
Hydrographic surveyor,Finance,Decreasing,Moderate,63808.11,Associate Degree,9,5776,8729,90.57,51.84,UK,40.14
Systems analyst,Education,Increasing,Moderate,79585.59,Associate Degree,10,6056,2129,22.34,68.38,Brazil,61.71
"Programmer, systems",Retail,Increasing,Moderate,98564.68,High School,10,9805,4341,39.1,82.68,USA,35.88
Chief Strategy Officer,Healthcare,Increasing,High,117084.68,PhD,9,2718,1107,46.71,94.37,Australia,28.64
Biomedical scientist,Finance,Decreasing,Low,66678.53,Associate Degree,3,1244,3825,42.09,19.28,Germany,29.28
"Administrator, local government",Manufacturing,Decreasing,High,48967.81,Bachelor’s Degree,6,1879,1009,73.42,30.78,UK,69.03
Recruitment consultant,Manufacturing,Increasing,Moderate,149904.64,PhD,14,2887,6384,39.99,68.61,UK,24.11
Physiotherapist,Manufacturing,Increasing,High,85915.46,Associate Degree,12,2562,9864,3.73,78.18,India,63.8
Personal assistant,Education,Decreasing,Moderate,38737.21,Associate Degree,16,3444,1422,64.19,95.66,Brazil,29.58
Horticultural consultant,IT,Decreasing,High,72007.88,High School,14,9176,5791,35.37,26.62,Canada,51.75
Brewing technologist,Education,Increasing,High,97643.95,High School,1,7126,2818,41.95,7.78,India,34.51
Statistician,Transportation,Decreasing,High,46966.85,Bachelor’s Degree,10,9588,2250,28.8,74.5,Canada,40.4
"Psychologist, clinical",Education,Decreasing,High,63333.44,Associate Degree,0,8348,341,26.4,4.92,USA,39.11
Minerals surveyor,Healthcare,Decreasing,High,81424.96,High School,9,9004,8221,87.8,30.44,India,66.85
"Production assistant, television",Manufacturing,Decreasing,Moderate,141148.87,Master’s Degree,0,8678,3367,31.51,86.1,Australia,28.84
Hydrogeologist,Transportation,Increasing,Moderate,43874.38,Bachelor’s Degree,13,6145,5389,35.27,39.56,USA,33.04
Community pharmacist,Education,Increasing,High,78760.77,High School,18,6144,4272,77.05,31.43,Canada,47.47
Maintenance engineer,Entertainment,Decreasing,Moderate,136360.1,Associate Degree,6,6252,4774,94.8,54.96,India,39.52
Training and development officer,IT,Decreasing,Moderate,105972.77,PhD,12,3676,8188,49.13,80.14,UK,66.6
Maintenance engineer,Healthcare,Decreasing,Low,108595.58,Master’s Degree,10,4756,1941,48.99,41.37,Canada,64.21
Legal executive,Transportation,Decreasing,High,110378.0,Master’s Degree,12,9632,8048,67.87,96.0,China,23.73
Child psychotherapist,Healthcare,Decreasing,Low,127376.08,Bachelor’s Degree,8,5721,6782,82.76,69.54,Australia,37.4
Advertising account executive,Healthcare,Decreasing,Moderate,55669.22,Master’s Degree,19,6610,255,4.04,95.62,China,29.08
"Psychologist, clinical",Entertainment,Increasing,High,112157.42,Associate Degree,8,4874,8296,69.28,89.76,Canada,48.46
"Surveyor, mining",Manufacturing,Decreasing,Moderate,57014.68,PhD,13,2274,486,73.87,80.43,Canada,48.99
Professor Emeritus,Transportation,Increasing,High,108856.73,Master’s Degree,14,6963,6099,91.45,33.95,Germany,26.37
Museum education officer,Finance,Decreasing,Low,96905.06,Associate Degree,1,2871,9237,22.87,0.6,USA,68.15
Video editor,Manufacturing,Decreasing,High,79034.55,PhD,7,8303,9896,63.2,38.02,USA,20.68
Rural practice surveyor,IT,Increasing,Low,64677.85,Associate Degree,20,2092,4390,82.38,27.89,India,39.11
Air traffic controller,IT,Decreasing,High,117874.89,Bachelor’s Degree,14,1177,608,82.29,86.68,India,20.54
Dispensing optician,Manufacturing,Decreasing,Low,113375.2,PhD,11,1586,401,77.8,19.67,India,24.36
Leisure centre manager,Transportation,Decreasing,Moderate,140256.91,Master’s Degree,5,1139,9162,56.99,44.38,India,74.67
Land,Finance,Decreasing,Low,140497.78,High School,3,8305,2500,71.27,40.78,UK,69.08
"Lecturer, further education",Finance,Decreasing,Low,91652.53,Master’s Degree,11,2315,8575,25.56,5.83,Australia,50.36
Purchasing manager,Entertainment,Decreasing,Moderate,72124.63,PhD,3,6594,5698,36.1,53.04,India,70.09
IT technical support officer,Retail,Decreasing,Moderate,77962.39,Master’s Degree,3,9220,6643,66.19,79.31,USA,47.66
Economist,IT,Increasing,Low,121977.22,Associate Degree,6,9298,7651,83.65,44.09,Brazil,45.9
Fish farm manager,Retail,Decreasing,High,53930.6,Associate Degree,20,2737,2283,36.7,94.17,USA,58.09
Control and instrumentation engineer,Education,Decreasing,Moderate,133480.83,Master’s Degree,13,5146,4202,39.36,74.76,UK,58.87
Chiropractor,IT,Decreasing,High,35376.63,PhD,14,7974,639,82.27,8.39,Australia,69.49
"Engineer, site",Healthcare,Decreasing,High,103629.91,Bachelor’s Degree,20,9250,3241,87.37,30.6,Canada,62.8
Dentist,Healthcare,Increasing,Low,135193.87,PhD,3,4967,4785,75.43,3.55,USA,75.16
"Engineer, automotive",Transportation,Decreasing,Low,87610.03,Associate Degree,6,5301,6979,28.89,56.48,UK,28.16
Water quality scientist,Healthcare,Increasing,Moderate,95779.13,Associate Degree,2,9790,6315,46.27,2.34,China,55.33
"Programmer, applications",IT,Increasing,Low,147876.01,PhD,13,7925,5119,56.36,71.25,Canada,77.07
"Production assistant, television",Education,Increasing,Moderate,71725.45,Bachelor’s Degree,10,253,3990,64.35,83.47,Germany,74.42
Mudlogger,Healthcare,Decreasing,Low,100234.48,Associate Degree,12,7453,9558,29.26,51.59,Brazil,57.82
"Education officer, museum",Manufacturing,Decreasing,High,129520.79,High School,20,4277,221,93.85,14.58,India,44.19
"Research officer, trade union",Entertainment,Increasing,Moderate,98096.92,Bachelor’s Degree,13,205,7528,35.3,17.14,Germany,56.32
Public relations account executive,Education,Increasing,Low,70420.78,Associate Degree,19,3461,267,10.73,3.77,Germany,29.21
Chartered certified accountant,IT,Decreasing,Low,92265.76,PhD,8,5113,5847,92.27,73.96,Brazil,45.99
"Engineer, production",Healthcare,Decreasing,Moderate,37316.16,High School,10,2329,4272,26.37,50.61,Canada,48.11
Physiological scientist,IT,Decreasing,Moderate,33514.6,High School,10,7776,4299,99.93,37.69,Brazil,36.91
"Teacher, primary school",Finance,Increasing,Low,82350.54,Master’s Degree,1,4900,5785,62.54,96.02,Australia,71.69
"Scientist, water quality",Retail,Decreasing,High,109019.16,Bachelor’s Degree,17,5020,219,91.96,65.3,Canada,47.45
Futures trader,Retail,Decreasing,Moderate,88454.74,High School,8,7361,4253,79.69,26.55,Australia,64.18
Chiropodist,Finance,Decreasing,High,91746.81,Master’s Degree,7,8015,8463,2.36,34.92,Brazil,66.8
Insurance account manager,IT,Increasing,Moderate,106995.99,Master’s Degree,3,7053,1254,26.09,50.02,UK,59.1
Building control surveyor,Entertainment,Decreasing,Moderate,51266.59,Associate Degree,3,6452,4130,72.5,41.04,UK,54.97
Personnel officer,Education,Decreasing,Moderate,99736.61,Bachelor’s Degree,6,2614,3083,28.74,81.43,UK,46.8
Landscape architect,Manufacturing,Decreasing,Low,39745.13,High School,14,1453,7128,93.52,68.17,USA,34.95
Homeopath,Finance,Increasing,Moderate,34560.79,PhD,6,1017,8977,21.05,1.44,Germany,47.72
Sports development officer,Finance,Increasing,High,47870.05,Associate Degree,1,9548,6557,18.76,45.81,UK,67.18
Estate manager/land agent,Retail,Increasing,Moderate,45999.4,High School,14,4485,5670,52.88,34.46,USA,22.86
Equities trader,Transportation,Decreasing,Low,126931.51,High School,12,3137,4521,82.75,47.06,Brazil,23.82
Network engineer,Transportation,Increasing,Moderate,46025.79,Bachelor’s Degree,11,4013,1777,57.99,41.37,Germany,78.34
Arboriculturist,Retail,Decreasing,High,32945.83,High School,0,5309,2493,69.43,9.85,India,21.51
Photographer,Manufacturing,Increasing,High,134073.79,Associate Degree,11,4389,6423,18.72,32.28,Germany,24.64
Medical sales representative,Manufacturing,Decreasing,Moderate,47104.17,Bachelor’s Degree,15,9173,3646,30.68,20.31,USA,26.61
Hydrographic surveyor,Entertainment,Increasing,High,103931.13,High School,17,2739,6791,95.14,33.96,USA,50.58
Facilities manager,Entertainment,Decreasing,High,41190.38,Bachelor’s Degree,8,7345,3543,44.0,49.74,UK,39.94
Dealer,Entertainment,Increasing,Low,40538.09,High School,16,6817,1221,83.92,39.51,UK,79.14
Purchasing manager,Retail,Decreasing,Low,132224.61,PhD,1,8120,2283,87.91,79.17,Canada,62.33
Sports coach,Manufacturing,Decreasing,High,104882.51,Associate Degree,10,102,9226,69.01,8.34,Canada,28.41
Printmaker,Retail,Decreasing,High,104529.86,Associate Degree,16,2551,926,47.96,96.79,Germany,42.35
Contracting civil engineer,Transportation,Decreasing,Moderate,147052.3,Bachelor’s Degree,19,9904,5432,81.5,56.25,Brazil,62.01
"Surveyor, hydrographic",Education,Decreasing,High,138935.49,Associate Degree,14,8362,618,61.71,87.11,USA,66.0
"Engineer, technical sales",Education,Increasing,Moderate,46197.72,Bachelor’s Degree,3,1801,5958,20.77,67.24,UK,45.82
Hospital doctor,Manufacturing,Decreasing,Low,67214.27,PhD,7,3698,2914,53.26,17.34,Australia,42.74
Architect,Education,Decreasing,Moderate,130343.95,Associate Degree,13,8831,4869,95.08,41.34,Germany,46.69
Broadcast engineer,Manufacturing,Increasing,High,131343.41,Master’s Degree,15,4527,1926,25.31,45.56,Brazil,72.5
Barrister,IT,Increasing,Low,42622.29,Bachelor’s Degree,13,6865,8950,93.56,26.82,Germany,50.34
"Programme researcher, broadcasting/film/video",IT,Decreasing,Moderate,51853.23,Bachelor’s Degree,18,3537,6258,83.55,98.3,UK,39.7
Trade union research officer,Education,Decreasing,High,108701.09,PhD,8,9053,3190,53.59,49.9,Canada,62.47
Medical technical officer,Transportation,Decreasing,Low,138470.54,Associate Degree,20,990,4785,51.74,61.75,China,56.08
Data processing manager,Healthcare,Decreasing,High,36325.61,Master’s Degree,19,5575,6231,92.71,54.86,UK,37.94
Social worker,Retail,Decreasing,Low,73859.54,Associate Degree,8,6549,5273,63.5,2.06,Germany,76.9
Land/geomatics surveyor,Education,Decreasing,High,101233.52,Associate Degree,4,3447,2766,16.6,72.92,Germany,35.49
Careers adviser,Healthcare,Increasing,Moderate,38283.53,Associate Degree,14,3836,9053,12.7,12.16,Brazil,23.36
Land/geomatics surveyor,Healthcare,Decreasing,Low,79584.91,Associate Degree,2,517,9069,92.95,88.23,India,29.68
"Pharmacist, community",Manufacturing,Increasing,Moderate,112991.57,Master’s Degree,10,3897,5544,60.1,84.51,Australia,29.91
Warden/ranger,Healthcare,Decreasing,High,65033.82,Associate Degree,12,2615,3436,13.04,83.83,China,42.31
Dietitian,Retail,Increasing,Low,116327.06,High School,2,6373,1885,92.71,56.43,Germany,55.54
Gaffer,Transportation,Decreasing,High,84816.79,Master’s Degree,19,1183,8093,33.38,60.97,Brazil,61.48
"Psychologist, educational",Healthcare,Decreasing,High,81877.9,Bachelor’s Degree,14,2033,1201,14.25,74.33,Australia,69.69
Proofreader,Retail,Decreasing,High,142665.31,Associate Degree,5,3136,3651,68.78,60.19,Germany,28.66
"Secretary, company",Transportation,Decreasing,Moderate,44543.08,High School,12,459,5546,57.85,84.08,Brazil,37.08
Building control surveyor,Entertainment,Decreasing,Moderate,66369.26,High School,14,9917,7999,41.54,6.95,USA,64.6
Chiropractor,Manufacturing,Decreasing,Low,75462.04,Master’s Degree,12,2192,2462,74.2,86.07,USA,67.73
"Designer, furniture",Education,Increasing,Low,46592.76,Bachelor’s Degree,20,1599,1981,33.77,26.47,UK,63.1
Information systems manager,Healthcare,Decreasing,Moderate,42352.07,Master’s Degree,7,9367,7191,25.01,67.85,UK,20.62
Media planner,Finance,Decreasing,High,130857.99,PhD,5,3913,6749,36.28,40.99,UK,50.91
Commercial horticulturist,IT,Increasing,Moderate,95240.03,Bachelor’s Degree,2,3378,6443,7.47,47.13,Canada,24.61
Osteopath,Education,Increasing,Moderate,65538.66,Associate Degree,15,5518,8830,13.47,86.7,Australia,66.33
Building surveyor,Healthcare,Increasing,High,113975.74,High School,7,2065,2211,41.76,7.73,India,78.82
"Engineer, production",Entertainment,Decreasing,Moderate,45016.12,Associate Degree,6,9055,8558,12.75,54.1,Germany,23.12
Forensic psychologist,Finance,Increasing,High,71977.0,PhD,5,502,9202,22.21,53.28,Australia,46.49
Science writer,Transportation,Decreasing,Low,95929.95,Associate Degree,20,6421,2093,94.49,70.02,Canada,57.26
Tourist information centre manager,Education,Increasing,High,32988.01,Associate Degree,18,6619,5464,3.19,94.77,USA,25.3
Osteopath,Transportation,Increasing,Low,89386.88,Associate Degree,17,5672,6790,67.73,58.7,India,34.96
Catering manager,Retail,Increasing,Moderate,65187.88,PhD,10,8009,2323,65.37,99.39,China,33.71
"Scientist, forensic",Manufacturing,Increasing,Low,52752.6,High School,1,4841,974,18.66,47.3,Brazil,45.62
Public affairs consultant,Manufacturing,Increasing,Moderate,135621.65,Bachelor’s Degree,12,6225,8458,9.47,47.8,China,78.39
"Therapist, speech and language",Transportation,Decreasing,Moderate,72828.68,PhD,8,9890,8352,47.22,0.55,India,67.55
"Journalist, broadcasting",Finance,Increasing,High,64897.31,PhD,11,4540,1996,97.81,89.6,Germany,77.22
IT trainer,Retail,Decreasing,Moderate,84210.22,Associate Degree,5,7627,2819,6.34,5.15,Brazil,34.62
Dispensing optician,Finance,Increasing,Low,138202.16,Bachelor’s Degree,12,4724,4287,57.04,68.73,China,25.2
Advertising account executive,Finance,Increasing,Moderate,142015.92,Bachelor’s Degree,2,413,4892,79.87,85.29,India,25.92
Equality and diversity officer,Transportation,Increasing,Moderate,110392.73,Master’s Degree,12,6943,6236,7.41,6.42,Canada,59.28
Health physicist,Finance,Increasing,High,131045.82,PhD,6,5109,9640,87.25,47.35,China,52.53
"Doctor, general practice",Manufacturing,Increasing,Moderate,38303.04,Master’s Degree,18,2475,3695,81.82,69.79,China,60.42
Merchant navy officer,Retail,Increasing,High,105851.86,High School,8,2521,7048,54.68,81.47,Australia,59.54
Equality and diversity officer,Finance,Decreasing,Low,37827.38,Associate Degree,1,7145,3229,2.77,29.33,Canada,25.38
Data processing manager,Entertainment,Decreasing,High,99385.41,Master’s Degree,13,5620,10000,30.06,5.65,UK,77.75
Community development worker,Manufacturing,Increasing,Moderate,43775.25,PhD,1,2257,7286,21.84,18.25,Australia,23.68
Cartographer,IT,Decreasing,Moderate,108078.07,Bachelor’s Degree,9,5581,2776,48.49,35.09,China,41.3
Ecologist,Retail,Increasing,Low,67451.52,Master’s Degree,14,1832,3176,99.14,63.8,USA,71.27
Location manager,Manufacturing,Decreasing,High,82810.68,High School,15,7008,2695,99.67,29.82,USA,27.34
"Solicitor, Scotland",Retail,Increasing,Moderate,39230.17,High School,5,2390,5897,46.55,65.65,UK,21.54
Pensions consultant,Finance,Decreasing,Low,81096.36,High School,4,2056,4317,87.55,95.17,India,57.65
"Engineer, biomedical",Education,Decreasing,Low,133188.38,Bachelor’s Degree,18,6123,9033,69.25,27.06,UK,25.86
Proofreader,Manufacturing,Increasing,Moderate,32464.76,Bachelor’s Degree,13,6158,7929,80.6,67.14,Germany,59.61
"Designer, interior/spatial",Transportation,Decreasing,Moderate,42542.63,PhD,4,8891,3295,79.87,16.49,USA,58.22
Sport and exercise psychologist,Education,Decreasing,Moderate,90909.53,High School,17,4370,7658,12.82,91.23,UK,70.54
"Librarian, public",Healthcare,Increasing,High,48982.66,Associate Degree,7,6924,8296,80.86,94.22,China,61.44
Sports administrator,Education,Decreasing,Low,52205.63,PhD,8,8879,688,78.14,3.15,UK,46.57
Health and safety inspector,Education,Decreasing,Moderate,112037.74,PhD,3,3531,4815,80.75,62.78,USA,40.72
Advertising account executive,Entertainment,Decreasing,Low,84354.83,Master’s Degree,10,683,8757,57.45,60.4,India,50.67
